iter	Passed	Remaining
983	37013	601
984	37048	564
985	37081	526
986	37111	488
987	37143	451
988	37175	413
989	37210	375
990	37243	338
991	37276	300
992	37313	263
993	37345	225
994	37379	187
995	37411	150
996	37443	112
997	37477	75
998	37562	37
999	37625	0
